"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 22 15:12:39 GMT 2025","Sat Mar 22 15:12:39 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sat Mar 22 15:11:42 GMT 2025","Sat Mar 22 15:12:38 GMT 2025","56623","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sat Mar 22 15:10:38 GMT 2025","Sat Mar 22 15:11:32 GMT 2025","53720","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sat Mar 22 15:12:58 GMT 2025","Sat Mar 22 15:13:05 GMT 2025","7815","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type with empty Repo URL",""
"passed","Sat Mar 22 15:12:39 GMT 2025","Sat Mar 22 15:12:57 GMT 2025","18744","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create build type",""
